,Knowledge_0,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Knowledge_10,Knowledge_11,Knowledge_12,Knowledge_13,Knowledge_14,Knowledge_15,Knowledge_16,Knowledge_17,Knowledge_18,Knowledge_19,Knowledge_20,Knowledge_21,Knowledge_22
Student_0,0.5034468,0.48864764,0.49514905,0.49500522,0.48078445,0.4933196,0.50522894,0.48627013,0.5055214,0.4937732,0.50900745,0.4918433,0.50073415,0.515222,0.51134956,0.53020924,0.49774802,0.49275616,0.47960544,0.52024764,0.48559606,0.52242553,0.5063067
Student_1,0.50509965,0.50162756,0.49308443,0.4943038,0.48390788,0.49148586,0.5222915,0.5325403,0.50698,0.5030147,0.51406807,0.4892141,0.48062712,0.49584496,0.50384235,0.5053363,0.4960365,0.50008917,0.48696476,0.48029986,0.51276934,0.5189742,0.5064061
Student_2,0.49600738,0.4840727,0.50803995,0.46995708,0.51131284,0.52176666,0.49574497,0.5118138,0.5322945,0.5066029,0.5043555,0.48604602,0.48153895,0.493355,0.50333375,0.49974847,0.512117,0.49748275,0.48406628,0.5093192,0.5061713,0.50201607,0.5153882
Student_3,0.4780531,0.50710016,0.5122037,0.5018539,0.4922366,0.4866041,0.48355624,0.5112123,0.48887193,0.47444227,0.4862898,0.51428527,0.51637775,0.5048818,0.5193154,0.51935154,0.5092091,0.49161455,0.49616727,0.4738351,0.49328324,0.51064456,0.5157625
Student_4,0.5179732,0.49023768,0.4842323,0.49019894,0.51540077,0.49677098,0.49055132,0.50008804,0.5084179,0.50349885,0.51549155,0.50454146,0.51583034,0.47237155,0.48924932,0.5215694,0.5080546,0.5024809,0.49914637,0.4758198,0.4830156,0.49373773,0.4899537
Student_5,0.50965655,0.52750474,0.47106782,0.48827857,0.49553555,0.50055844,0.50084966,0.47662535,0.4942623,0.4948555,0.5259314,0.5107594,0.4928268,0.48694673,0.50549036,0.5084572,0.48415875,0.48505953,0.4813006,0.5002174,0.5020853,0.51059383,0.52476954
Student_6,0.46997046,0.5102503,0.5087444,0.5006999,0.49900615,0.49833,0.51548785,0.4892981,0.47115487,0.4851621,0.5390797,0.5051752,0.4975504,0.5056802,0.49726218,0.5111963,0.47510722,0.5029496,0.5108546,0.4976393,0.4863564,0.5178837,0.50119615
Student_7,0.5172116,0.48419496,0.4990384,0.50514334,0.4881323,0.49774772,0.48204446,0.5014188,0.48788983,0.4944036,0.50224495,0.49735144,0.48489624,0.5028778,0.4911999,0.48782787,0.51348263,0.50143045,0.49090028,0.51131076,0.47755462,0.47178182,0.51519233
Student_8,0.49767542,0.511629,0.50541854,0.5084045,0.50738055,0.5138193,0.48362896,0.5103917,0.5013217,0.49183783,0.51259476,0.47971442,0.50876576,0.49905112,0.48694977,0.495762,0.49968633,0.5060317,0.4992302,0.5142499,0.49006194,0.4835625,0.520563
Student_9,0.52746266,0.5100066,0.54269964,0.49163362,0.48240733,0.5049968,0.49062148,0.51681525,0.5035275,0.4882299,0.51716727,0.5040342,0.4899856,0.5090763,0.48957127,0.525784,0.51848525,0.48442882,0.48618937,0.47646585,0.4903992,0.49712655,0.50518066
Student_10,0.5217446,0.4888147,0.5101218,0.48835918,0.5047082,0.48683244,0.5152878,0.52223676,0.52267003,0.50771797,0.48190916,0.5233577,0.50786835,0.49808642,0.5057347,0.49494225,0.50550246,0.4717191,0.51435554,0.49355507,0.51094747,0.51172245,0.4885181
Student_11,0.5076656,0.5169167,0.5393103,0.4988354,0.5055945,0.47932476,0.4919377,0.49784946,0.49060744,0.50846493,0.4942566,0.50248206,0.49777257,0.49196014,0.5116393,0.49705598,0.48322442,0.46295002,0.49816757,0.52288294,0.49215114,0.5038549,0.49093786
